pizza_index,raw_menus,time_stamps,menus_clean,garnish,title
0,"Roma tomatoes with red onions, Bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",2010-11-23 19:56:08,"roma tomatoes with red onions, bulgarian feta , mozzarella cheeses, lemon juice , lemon zest, garlic olive oil , fresh cilantro.",,
2,"Roma tomatoes, Red onions, Bulgarian feta, Mozzarella, Lemon zest , juice, Cilantro, Garlic olive oil.",2011-07-18 16:23:54,"roma tomatoes, red onions, bulgarian feta, mozzarella, lemon zest , juice, cilantro, garlic olive oil.",,
4,"Red bell peppers, Onions, Mozzarella, Montalban cheese, Kalamata olives, Garlic olive oil, Italian parsley.",2011-07-28 06:58:19,"red bell peppers, onions, mozzarella, montalban cheese, kalamata olives, garlic olive oil, italian parsley.",,
6,"Red bell peppers, Onions, French feta, Mozzarella, Tapenade.",2011-09-03 05:12:28,"red bell peppers, onions, french feta, mozzarella, tapenade.",,
8,"Gypsy pepper, Onions, French goat cheese, Mozzarella, Fresh herbs, Garlic olive oil.",2011-09-25 07:08:39,"gypsy pepper, onions, french goat cheese, mozzarella, fresh herbs, garlic olive oil.",,
10,"Red bell peppers, Onions, French feta, Mozzarella, Tapenade, Garlic olive oil. ",2011-10-07 00:37:58,"red bell peppers, onions, french feta, mozzarella, tapenade, garlic olive oil. ",,
12,"Red bell peppers, Onions, French feta, Mozzarella, Tapenade, Garlic olive oil. ",2011-10-10 05:10:22,"red bell peppers, onions, french feta, mozzarella, tapenade, garlic olive oil. ",,
14,"Fresh Asiago, Danish Blue, Mozzarella, Parmesan cheese, Red, Yellow , Green Onions, Fresh herbs.",2011-10-26 15:16:17,"fresh asiago, danish blue, mozzarella, parmesan cheese, red, yellow , green onions, fresh herbs.",,
16,"Broccolini, Red onions, Cheddar cheese, Mozzarella, Gremolata, Garlic olive oil. ",2011-11-14 04:44:20,"broccolini, red onions, cheddar cheese, mozzarella, gremolata, garlic olive oil. ",,
18,"4 cheeses (Fresh asiago, Danish blue, Mozzarella, Parmesan), 3 Onions (Red, Yellow , Green), Basil, Garlic olive oil. ",2011-12-07 06:16:17,"4 cheeses (fresh asiago, danish blue, mozzarella, parmesan), 3 onions (red, yellow , green), basil, garlic olive oil. ",,
